date,order_id,city,channel,amount
"2026.09.22","DD20260922001","杭州","门店"," 1,422.48 "
"2026.09.22","DD20260922002","上海","团购","1639.73"
"2026.09.22","DD20260922003","北京","团购","660.45"
"2026.09.22","DD20260922004","北京","外卖","955.97"
"2026.09.22","DD20260922005","上海","外卖"," 599.05 "
"2026.09.22","DD20260922006","深圳","团购","¥931.30"
"2026.09.22","DD20260922007","深圳","外卖","1605.02"
"2026.09.22","DD20260922008","杭州","门店"," 1,391.00 "
"2026.09.22","DD20260922009","北京","电商"," 1,590.65 "
"2026.09.22","DD20260922010","上海","外卖","1,012.63"
"2026.09.22","DD20260922011","深圳","外卖","¥554.09"
"2026.09.22","DD20260922012","上海","团购","650.80"
"2026.09.22","DD20260922901","深圳","电商",""
"2026.09.22","DD20260922902","广州","电商","(380.00)"
"2026.09.22","DD20260922903","","门店"," 520.00 "
