原路径,归档后路径,类别,大小(字节),修改时间,内容指纹
合同\合同-张三.docx,文档\文档_20260924_001.docx,文档,18,2026-09-24 19:49:19,1a7e57ebfcfb59ea
合同\扫描件.pdf,文档\文档_20260924_002.pdf,文档,19,2026-09-24 19:49:19,cf3686f00e670112
合同\扫描件_空白.pdf,文档\文档_20260924_003.pdf,文档,0,2026-09-24 19:49:19,e3b0c44298fc1c14
报表\8月销售 - 副本.xlsx,表格\表格_20260924_001.xlsx,表格,20,2026-09-24 19:49:19,033710e9d58bbea1
报表\8月销售.xlsx,_重复文件\报表__8月销售.xlsx,重复件,20,2026-09-24 19:49:19,033710e9d58bbea1
杂项\backup 2026.zip,压缩包\压缩包_20260924_001.zip,压缩包,11,2026-09-24 19:49:19,daf4e16539491123
杂项\readme.txt,文档\文档_20260924_004.txt,文档,14,2026-09-24 19:49:19,9dd83747057a6a66
照片\DSC_0001.jpg,图片\图片_20260924_001.jpg,图片,15,2026-09-24 19:49:19,1887210be06950db
照片\DSC_0001_副本.jpg,_重复文件\照片__DSC_0001_副本.jpg,重复件,15,2026-09-24 19:49:19,1887210be06950db
照片\DSC_0002.jpg,图片\图片_20260924_002.jpg,图片,15,2026-09-24 19:49:19,6229da82fe71f496
照片\logo.PNG,图片\图片_20260924_003.png,图片,12,2026-09-24 19:49:19,4009fffca5898b16
