sku,title,price,stock,status
S001,商品001,"¥1,010.00",101件,在售
S002,商品002,"¥1,020.00",102件,在售
S003,商品003,"¥1,030.00",103件,在售
S004,商品004,"¥1,040.00",104件,在售
S005,商品005,"¥1,050.00",105件,在售
S006,商品006,"¥1,060.00",106件,在售
S007,商品007,"¥1,070.00",107件,在售
S008,商品008,"¥1,080.00",108件,在售
S009,商品009,"¥1,090.00",109件,在售
S010,商品010,"¥1,100.00",110件,在售
S011,商品011,"¥1,110.00",111件,在售
S012,商品012,"¥1,120.00",112件,在售
S013,商品013,"¥1,130.00",113件,在售
S014,商品014,"¥1,140.00",114件,在售
S015,商品015,"¥1,150.00",115件,在售
S016,商品016,"¥1,160.00",116件,在售
S017,商品017,"¥1,170.00",117件,在售
S018,商品018,"¥1,180.00",118件,在售
S019,商品019,"¥1,190.00",119件,在售
 S020 ,商品020,"¥1,200.00",120件,在售
S021,商品021,"¥1,210.00",121件,在售
S022,商品022,"¥1,220.00",122件,在售
S023,商品023,"¥1,230.00",123件,在售
S024,商品024,"¥1,240.00",124件,在售
S025,商品025,"¥1,250.00",125件,在售
S026,商品026,"¥1,260.00",126件,在售
S027,商品027,"¥1,270.00",127件,在售
S028,商品028,"¥1,280.00",128件,在售
S029,商品029,"¥1,290.00",129件,在售
S030,商品030,"¥1,300.00",130件,在售
S031,商品031,"¥1,310.00",131件,在售
S032,商品032,"¥1,320.00",132件,在售
S033,商品033,"¥1,330.00",133件,在售
S034,商品034,"¥1,340.00",134件,在售
S035,商品035,"¥1,350.00",135件,在售
S036,商品036,"¥1,360.00",136件,在售
S037,商品037,"¥1,370.00",137件,在售
S038,商品038,"¥1,380.00",138件,在售
S039,商品039,"¥1,390.00",139件,在售
S040,商品040,"¥1,400.00",140件,在售
,没编码的商品,"¥1,111.00",5件,在售
S021,商品021 重复行,"¥1,210.00",121件,在售
