sku,title,price,stock,status
S001,商品001,1110,101,在售
S002,商品002,"1,070.00",102,在售
S003,商品003,1330,103,在售
S004,商品004,1060,104,在售
S005,商品005,1060,105,在售
S006,商品006,1065,106,在售
S007,商品007,1070,104,在售
S008,商品008,1080,105,在售
S009,商品009,1090,106,在售
S010,商品010,1100,107,在售
S011,商品011（京东专供）,1110,111,在售
S012,商品012（京东专供）,1120,112,在售
S013,商品013,1130,113,下架
S014,商品014,,114,在售
S015,商品015,1150,115,在售
S016,商品016,1160,116,在售
S017,商品017,1170,117,在售
S018,商品018,1180,118,在售
S019,商品019,1190,119,在售
 S020 ,商品020,1200,120,在售
S021,商品021,1210,121,在售
S022,商品022,1220,122,在售
S023,商品023,1230,123,在售
S024,商品024,1240,124,在售
S025,商品025,1250,125,在售
S026,商品026,1260,126,在售
S027,商品027,1270,127,在售
S028,商品028,1280,128,在售
S029,商品029,1290,129,在售
S030,商品030,1300,130,在售
S031,商品031,1310,131,在售
S032,商品032,1320,132,在售
S033,商品033,1330,133,在售
S034,商品034,1340,134,在售
S035,商品035,1350,135,在售
S041,商品041,1410,141,在售
S042,商品042,1420,142,在售
S043,商品043,1430,143,在售
S044,商品044,1440,144,在售
